Family_ID,POS,Word/Collocations,Strict_Synonyms,Meaning_VN,,
285,adv,strategically,,một cách chiến lược,,
285,phrase,marketing strategy,marketing plan,chiến lược tiếp thị,,
285,phrase,strategic planning,long-term planning,lập kế hoạch chiến lược,,
285,phrase,located strategically,,nằm ở vị trí chiến lược,,
286,n,tactic,maneuver,chiến thuật,,
286,adj,tactical,maneuvering,thuộc về chiến thuật,,
286,phrase,delaying tactic,stalling maneuver,chiến thuật trì hoãn,,
286,phrase,tactical advantage,maneuvering edge,lợi thế chiến thuật,,
286,phrase,business tactics,,chiến thuật kinh doanh,,
287,n,approach,method,cách tiếp cận,,
287,v,approach,near,tiếp cận,,
287,phrase,holistic approach,comprehensive method,cách tiếp cận toàn diện,,
287,phrase,traditional approach,conventional method,cách tiếp cận truyền thống,,
287,phrase,approach a problem,,tiếp cận một vấn đề,,
288,n,framework,structure,khung/cơ cấu/khung lý thuyết,,
288,phrase,theoretical framework,conceptual structure,khung lý thuyết,,
288,phrase,legal framework,regulatory structure,khung pháp lý,,
288,phrase,within the framework of,,trong khuôn khổ của,,
289,n,infrastructure,,cơ sở hạ tầng,,
289,phrase,critical infrastructure,,cơ sở hạ tầng thiết yếu,,
289,phrase,transport infrastructure,,cơ sở hạ tầng giao thông,,
289,phrase,improve infrastructure,,cải thiện cơ sở hạ tầng,,
290,n,organization,institution,tổ chức/sự sắp xếp,,
290,v,organize,arrange,tổ chức/sắp xếp,,
290,phrase,international organization,global institution,tổ chức quốc tế,,
290,phrase,non-profit organization,,tổ chức phi lợi nhuận,,
290,phrase,highly organized,well-arranged,được tổ chức tốt/sắp xếp khoa học,,
291,n,institution,organization,thể chế/cơ quan/tổ chức,,
291,adj,institutional,organizational,thuộc về thể chế,,
291,phrase,educational institution,learning organization,cơ sở giáo dục,,
291,phrase,financial institution,banking organization,định chế tài chính,,
291,phrase,institutional change,organizational shift,thay đổi về mặt thể chế,,
292,n,establishment,institution,cơ sở/sự thành lập,,
292,phrase,educational establishment,learning institution,cơ sở giáo dục,,
292,phrase,commercial establishment,business institution,cơ sở thương mại,,
292,phrase,mainstream establishment,,tầng lớp cầm quyền/chính thống,,
293,n,corporation,company,tập đoàn/công ty,,
293,adj,corporate,business-related,thuộc về doanh nghiệp,,
293,phrase,multinational corporation,global company,tập đoàn đa quốc gia,,
293,phrase,corporate culture,business environment,văn hóa doanh nghiệp,,
293,phrase,corporate social responsibility,,trách nhiệm xã hội của doanh nghiệp,,
294,n,agency,bureau,đại lý/cơ quan,,
294,phrase,government agency,state bureau,cơ quan chính phủ,,
294,phrase,advertising agency,marketing firm,đại lý quảng cáo,,
294,phrase,travel agency,tourist bureau,đại lý du lịch,,
295,n,association,organization,hiệp hội/sự liên kết,,
295,v,associate,link,liên kết/kết giao,,
295,phrase,professional association,vocational organization,hiệp hội nghề nghiệp,,
295,phrase,trade association,industry organization,hiệp hội thương mại,,
295,phrase,associated risks,linked dangers,rủi ro liên quan,,
296,n,foundation,basis,nền tảng/quỹ tài trợ,,
296,adj,foundational,basic,nền tảng/cơ bản,,
296,phrase,charitable foundation,philanthropic fund,quỹ từ thiện,,
296,phrase,solid foundation,firm basis,nền tảng vững chắc,,
296,phrase,foundational principles,basic rules,các nguyên tắc nền tảng,,
297,n,network,web,mạng lưới/hệ thống,,
297,v,network,connect,kết nối mạng lưới,,
297,phrase,social network,social web,mạng xã hội,,
297,phrase,computer network,digital web,mạng máy tính,,
297,phrase,global network,worldwide web,mạng lưới toàn cầu,,
298,n,alliance,partnership,liên minh,,
298,phrase,strategic alliance,,liên minh chiến lược,,
298,phrase,military alliance,defense partnership,liên minh quân sự,,
298,phrase,form an alliance,create a partnership,thiết lập liên minh,,
299,n,coalition,alliance,liên minh (thường là chính trị),,
299,phrase,coalition government,alliance government,chính phủ liên hiệp,,
299,phrase,broad coalition,wide alliance,liên minh rộng rãi,,
299,phrase,form a coalition,build an alliance,thành lập liên minh,,
300,n,sector,area,lĩnh vực/mảng/khu vực,,
300,phrase,public sector,state area,khu vực công,,
300,phrase,private sector,business area,khu vực tư nhân,,
300,phrase,financial sector,banking area,lĩnh vực tài chính,,
301,n,industry,sector,ngành công nghiệp,,
301,adj,industrial,,thuộc về công nghiệp,,
301,phrase,manufacturing industry,production sector,ngành công nghiệp sản xuất,,
301,phrase,service industry,service sector,ngành dịch vụ,,
301,phrase,industrial revolution,,cách mạng công nghiệp,,
302,n,department,division,phòng/ban/bộ,,
302,adj,departmental,divisional,thuộc về phòng ban,,
302,phrase,government department,state division,bộ thuộc chính phủ,,
302,phrase,department store,,cửa hàng bách hóa,,
302,phrase,departmental meeting,divisional gathering,cuộc họp phòng ban,,
303,n,division,department,phân bộ/sự phân chia,,
303,adj,divisional,departmental,thuộc về phân bộ,,
303,phrase,division of labor,separation of tasks,sự phân công lao động,,
303,phrase,administrative division,managerial department,đơn vị hành chính,,
303,phrase,fair division,equitable separation,sự phân chia công bằng,,
304,n,unit,entity,đơn vị,,
304,phrase,business unit,commercial entity,đơn vị kinh doanh,,
304,phrase,family unit,domestic entity,đơn vị gia đình,,
304,phrase,basic unit,fundamental entity,đơn vị cơ bản,,
305,n,entity,unit,thực thể,,
305,phrase,legal entity,official unit,pháp nhân/thực thể pháp lý,,
305,phrase,corporate entity,business unit,thực thể doanh nghiệp,,
305,phrase,separate entity,distinct unit,thực thể riêng biệt,,
306,n,authority,power,thẩm quyền/chính quyền,,
306,adj,authoritative,reliable,có thẩm quyền/đáng tin,,
306,phrase,local authority,local government,chính quyền địa phương,,
306,phrase,authority figure,,người có thẩm quyền,,
306,phrase,authoritative source,reliable source,nguồn tin đáng tin cậy,,
307,n,power,authority,quyền lực/năng lượng,,
307,adj,powerful,influential,quyền năng/mạnh mẽ,,
307,phrase,political power,political authority,quyền lực chính trị,,
307,phrase,abuse of power,,lạm dụng quyền lực,,
307,phrase,powerful influence,strong impact,tầm ảnh hưởng mạnh mẽ,,
308,n,influence,impact,sự ảnh hưởng,,
308,v,influence,affect,ảnh hưởng đến,,
308,adj,influential,significant,có sức ảnh hưởng,,
308,phrase,under the influence of,,dưới sự ảnh hưởng của,,
308,phrase,influential person,significant figure,người có sức ảnh hưởng,,
308,phrase,exert influence,,gây ảnh hưởng,,
309,n,dominance,supremacy,sự thống trị/ưu thế,,
309,v,dominate,control,thống trị/át hẳn,,
309,adj,dominant,prevailing,chiếm ưu thế,,
309,phrase,market dominance,market supremacy,sự thống trị thị trường,,
309,phrase,dominant culture,prevailing culture,văn hóa thống trị,,
309,phrase,dominate the conversation,,áp đảo cuộc đối thoại,,
310,n,sovereignty,autonomy,quyền chủ quyền,,
310,adj,sovereign,autonomous,có chủ quyền/tự trị,,
310,phrase,national sovereignty,national autonomy,chủ quyền quốc gia,,
310,phrase,sovereign state,autonomous nation,quốc gia có chủ quyền,,
310,phrase,violation of sovereignty,,xâm phạm chủ quyền,,
311,n,autonomy,independence,quyền tự trị,,
311,adj,autonomous,independent,tự trị/độc lập,,
311,phrase,local autonomy,local independence,quyền tự trị địa phương,,
311,phrase,autonomous region,independent area,khu vực tự trị,,
311,phrase,greater autonomy,more independence,quyền tự trị cao hơn,,
312,n,jurisdiction,authority,thẩm quyền tài phán,,
312,phrase,legal jurisdiction,legal authority,thẩm quyền pháp lý,,
312,phrase,within the jurisdiction of,,thuộc phạm vi tài phán của,,
312,phrase,jurisdictional dispute,,tranh chấp về thẩm quyền tài phán,,
313,n,mandate,instruction,lệnh/sự ủy thác,,
313,v,mandate,require,bắt buộc,,
313,phrase,democratic mandate,popular instruction,sự ủy thác dân chủ,,
313,phrase,mandated by law,required by law,được luật pháp quy định,,
313,phrase,clear mandate,obvious instruction,ủy thác rõ ràng,,
314,n,legitimacy,validity,tính hợp pháp/chính đáng,,
314,v,legitimize,validate,hợp pháp hóa,,
314,adj,legitimate,valid,hợp pháp/chính đáng,,
314,phrase,political legitimacy,political validity,tính chính đáng chính trị,,
314,phrase,legitimate concern,valid worry,mối quan tâm chính đáng,,
314,phrase,legitimize the process,validate the procedure,hợp pháp hóa quy trình,,
315,n,policy,strategy,chính sách,,
315,phrase,foreign policy,foreign strategy,chính sách đối ngoại,,
315,phrase,public policy,state strategy,chính sách công,,
315,phrase,policy maker,,người hoạch định chính sách,,
316,n,protocol,procedure,nghị định thư/quy tắc,,
316,phrase,security protocol,security procedure,giao thức an ninh,,
316,phrase,follow protocol,obey procedure,tuân thủ quy tắc,,
316,phrase,standard protocol,normal procedure,quy tắc tiêu chuẩn,,
317,n,clause,provision,điều khoản,,
317,phrase,contract clause,contract provision,điều khoản hợp đồng,,
317,phrase,penalty clause,,điều khoản phạt,,
317,phrase,relative clause,,mệnh đề quan hệ (ngôn ngữ học),,
318,n,provision,clause,điều khoản (văn bản pháp lý),,
318,phrase,statutory provision,legal clause,điều khoản luật định,,
318,phrase,make provision for,prepare for,dự phòng cho,,
319,n,amendment,revision,sự sửa đổi (luật hiến pháp),,
319,v,amend,revise,sửa đổi,,
319,phrase,constitutional amendment,constitutional revision,sửa đổi hiến pháp,,
319,phrase,propose an amendment,suggest a revision,đề xuất sửa đổi,,
320,n,article,clause,điều khoản (trong văn bản luật),,
320,phrase,journal article,academic paper,bài báo khoa học,,
321,n,treaty,agreement,hiệp ước,,
321,phrase,peace treaty,peace agreement,hiệp ước hòa bình,,
321,phrase,international treaty,global agreement,hiệp ước quốc tế,,
321,phrase,sign a treaty,ratify an agreement,ký kết hiệp ước,,
322,n,convention,agreement,công ước (văn bản quốc tế),,
322,phrase,international convention,global agreement,công ước quốc tế,,
322,phrase,sign a convention,ratify an agreement,ký kết công ước,,
323,n,charter,constitution,hiến chương/điều lệ,,
323,v,charter,hire,thuê (tàu/xe),,
323,phrase,UN Charter,UN constitution,Hiến chương Liên Hợp Quốc,,
323,phrase,company charter,company bylaws,điều lệ công ty,,
323,phrase,charter flight,,chuyến bay thuê riêng,,
324,n,constitution,charter,hiến pháp/thể tạng,,
324,adj,constitutional,legal,thuộc về hiến pháp,,
324,phrase,written constitution,formal charter,hiến pháp thành văn,,
324,phrase,constitutional rights,legal entitlements,quyền hiến định,,
324,phrase,robust constitution,strong health,thể chất cường tráng,,
325,n,legislation,lawmaking,pháp luật/việc lập pháp,,
325,v,legislate,enact laws,lập pháp,,
325,adj,legislative,lawmaking,thuộc về lập pháp,,
325,phrase,introduce legislation,propose laws,đưa ra dự luật,,
325,phrase,legislative body,lawmaking assembly,cơ quan lập pháp,,
325,phrase,enact legislation,pass laws,ban hành luật,,
326,n,statute,law,đạo luật (do cơ quan lập pháp ban hành),,
326,adj,statutory,mandatory,luật định/bắt buộc,,
326,phrase,statute of limitations,,thời hiệu khởi kiện,,
326,phrase,statutory requirement,mandatory need,yêu cầu theo luật định,,
326,phrase,statutory body,,cơ quan luật định,,
327,n,ordinance,decree,sắc lệnh/nghị định,,
327,phrase,local ordinance,city decree,quy định địa phương,,
327,phrase,zoning ordinance,,quy định về phân khu,,
327,phrase,issue an ordinance,publish a decree,ban hành sắc lệnh,,
328,n,regulation,rule,quy định/sự điều tiết,,
328,v,regulate,control,điều tiết,,
328,phrase,safety regulations,safety rules,quy định an toàn,,
328,phrase,government regulation,state control,sự điều tiết của chính phủ,,
328,phrase,strict regulations,stringent rules,quy định nghiêm ngặt,,
329,n,principle,tenet,nguyên tắc,,
329,adj,principled,ethical,có nguyên tắc/đạo đức,,
329,phrase,basic principle,fundamental tenet,nguyên tắc cơ bản,,
329,phrase,guiding principle,leading tenet,nguyên tắc chỉ đạo,,
329,phrase,in principle,,về nguyên tắc,,
330,n,doctrine,dogma,học thuyết/giáo lý,,
330,adj,doctrinal,,thuộc về học thuyết,,
330,phrase,military doctrine,military strategy,học thuyết quân sự,,
330,phrase,religious doctrine,religious dogma,giáo lý tôn giáo,,
330,phrase,political doctrine,political ideology,học thuyết chính trị,,
331,n,tenet,principle,giáo lý/nguyên lý (của một học thuyết),,
331,phrase,central tenet,core principle,nguyên lý trung tâm,,
331,phrase,basic tenets,fundamental principles,những giáo lý cơ bản,,
332,n,norm,standard,chuẩn mực,,
332,adj,normative,,thuộc về quy phạm/chuẩn định,,
332,phrase,social norms,social standards,chuẩn mực xã hội,,
332,phrase,cultural norms,cultural standards,chuẩn mực văn hóa,,
332,phrase,above the norm,above average,trên mức bình thường,,
333,n,ethic,moral code,đạo đức (nghề nghiệp/hệ thống),,
333,adj,ethical,moral,thuộc về đạo đức,,
333,adv,ethically,morally,về mặt đạo đức,,
333,phrase,work ethic,professional conduct,đạo đức làm việc,,
333,phrase,medical ethics,medical moral code,đạo đức y khoa,,
333,phrase,ethically sound,morally correct,đúng đắn về đạo đức,,
334,n,morals,ethics,luân lý/đạo đức (cá nhân),,
334,adj,moral,ethical,thuộc về luân lý,,
334,phrase,moral values,ethical standards,giá trị đạo đức,,
334,phrase,moral dilemma,ethical conflict,tiến thoái lưỡng nan về đạo đức,,
334,phrase,moral support,,sự ủng hộ về tinh thần,,
335,n,virtue,merit,đức hạnh/ưu điểm,,
335,adj,virtuous,righteous,có đức hạnh,,
335,phrase,patience is a virtue,,kiên nhẫn là một đức tính tốt,,
335,phrase,by virtue of,,bởi vì/nhờ vào,,
335,phrase,virtuous cycle,,vòng tuần hoàn tích cực,,
336,n,perception,awareness,sự nhận thức/cảm nhận,,
336,v,perceive,discern,nhận thức/nhận thấy,,
336,adj,perceptual,,thuộc về nhận thức,,
336,phrase,public perception,common awareness,nhận thức của công chúng,,
336,phrase,perceive a threat,discern a danger,nhận thấy một mối đe dọa,,
336,phrase,perceptual skills,,kỹ năng nhận thức,,
337,n,perspective,outlook,góc nhìn/quan điểm,,
337,phrase,global perspective,world outlook,góc nhìn toàn cầu,,
337,phrase,historical perspective,past outlook,góc nhìn lịch sử,,
337,phrase,from my perspective,,theo quan điểm của tôi,,
338,n,viewpoint,standpoint,quan điểm,,
338,phrase,different viewpoint,another standpoint,quan điểm khác nhau,,
338,phrase,political viewpoint,political standpoint,quan điểm chính trị,,
338,phrase,clash of viewpoints,,sự xung đột về quan điểm,,
339,n,concept,notion,khái niệm,,
339,adj,conceptual,theoretical,thuộc về khái niệm,,
339,v,conceptualize,,khái niệm hóa,,
339,phrase,basic concept,fundamental notion,khái niệm cơ bản,,
339,phrase,key concept,main notion,khái niệm then chốt,,
339,phrase,conceptual framework,theoretical structure,khung khái niệm,,
340,n,conception,notion,quan niệm/sự thụ thai,,
340,phrase,popular conception,common notion,quan niệm phổ biến,,
340,phrase,misconception,,quan niệm sai lầm,,
340,phrase,conception of justice,,quan niệm về công lý,,
341,n,notion,concept,ý niệm/khái niệm,,
341,phrase,preconceived notion,,ý niệm định kiến,,
341,phrase,vague notion,unclear concept,ý niệm mơ hồ,,
341,phrase,dismiss the notion,,loại bỏ ý niệm,,
342,n,ideology,creed,hệ tư tưởng,,
342,adj,ideological,,thuộc về hệ tư tưởng,,
342,phrase,political ideology,political creed,hệ tư tưởng chính trị,,
342,phrase,dominant ideology,prevailing creed,hệ tư tưởng thống trị,,
342,phrase,ideological differences,,khác biệt về hệ tư tưởng,,
343,n,philosophy,belief system,triết học/triết lý,,
343,adj,philosophical,,thuộc về triết học,,
343,phrase,moral philosophy,ethical belief system,triết học đạo đức,,
343,phrase,educational philosophy,,triết lý giáo dục,,
343,phrase,philosophical debate,,cuộc tranh luận triết học,,
344,n,theory,hypothesis,lý thuyết,,
344,phrase,scientific theory,scientific hypothesis,lý thuyết khoa học,,
344,phrase,in theory,,về lý thuyết,,
344,phrase,conspiracy theory,,thuyết âm mưu,,
345,adj,theoretical,abstract,thuộc về lý thuyết/trừu tượng,,
345,adv,theoretically,abstractly,về mặt lý thuyết,,
345,phrase,theoretical model,abstract pattern,mô hình lý thuyết,,
345,phrase,theoretical basis,abstract foundation,cơ sở lý thuyết,,
345,phrase,theoretically possible,abstractly feasible,khả thi về mặt lý thuyết,,
346,n,hypothesis,theory,giả thuyết,,
346,v,hypothesize,,đặt giả thuyết,,
346,phrase,working hypothesis,,giả thuyết đang nghiên cứu,,
346,phrase,test a hypothesis,,kiểm tra một giả thuyết,,
346,phrase,null hypothesis,,giả thuyết không (thống kê),,
347,adj,hypothetical,speculative,có tính giả thuyết,,
347,phrase,hypothetical situation,speculative case,tình huống giả định,,
347,phrase,hypothetical question,speculative query,câu hỏi giả định,,
347,phrase,purely hypothetical,,hoàn toàn là giả thuyết,,
348,n,speculation,conjecture,sự suy đoán,,
348,v,speculate,conjecture,suy đoán/đầu cơ,,
348,phrase,wild speculation,unfounded conjecture,suy đoán vô căn cứ,,
348,phrase,market speculation,,đầu cơ thị trường,,
348,phrase,pure speculation,,hoàn toàn là suy đoán,,
349,n,assumption,premise,giả định,,
349,v,assume,presume,cho rằng/giả định,,
349,phrase,basic assumption,fundamental premise,giả định cơ bản,,
349,phrase,underlying assumption,hidden premise,giả định tiềm ẩn,,
349,phrase,make an assumption,,đưa ra một giả định,,
350,n,premise,assumption,tiền đề,,
350,v,premise,,dựa trên tiền đề,,
350,phrase,basic premise,fundamental assumption,tiền đề cơ bản,,
350,phrase,false premise,incorrect assumption,tiền đề sai lầm,,
350,phrase,on the premise that,,dựa trên tiền đề là,,
351,n,deduction,inference,sự suy luận diễn dịch/khấu trừ,,
351,v,deduce,infer,suy luận (từ cái chung đến cái riêng),,
351,adj,deductive,,mang tính diễn dịch,,
351,phrase,deductive reasoning,,lý luận diễn dịch,,
351,phrase,tax deduction,,khấu trừ thuế,,
351,phrase,deduce from evidence,,suy ra từ bằng chứng,,
352,n,induction,,sự quy nạp (từ cái riêng đến cái chung),,
352,adj,inductive,,có tính quy nạp,,
352,phrase,inductive logic,,logic quy nạp,,
353,n,paradigm,model,hệ hình/khuôn mẫu,,
353,adj,paradigmatic,,thuộc về hệ hình/mẫu mực,,
353,phrase,paradigm shift,,sự thay đổi hệ hình (bước ngoặt tư duy),,
353,phrase,paradigmatic example,model example,ví dụ mẫu mực,,
354,n,framework,structure,khung/khuôn khổ,,
354,phrase,legal framework,regulatory structure,khung pháp lý,,
354,phrase,conceptual framework,theoretical structure,khung khái niệm,,
354,phrase,within the framework,,trong khuôn khổ của,,
355,adj,objective,unbiased,khách quan,,
355,n,objectivity,impartiality,tính khách quan,,
355,phrase,objective criteria,unbiased standards,tiêu chí khách quan,,
355,phrase,strictly objective,completely impartial,hoàn toàn khách quan,,
355,phrase,achieve objectivity,,đạt được tính khách quan,,
356,adj,subjective,personal,chủ quan,,
356,n,subjectivity,personal bias,tính chủ quan,,
356,phrase,subjective judgment,personal opinion,đánh giá chủ quan,,
356,phrase,purely subjective,,thuần túy chủ quan,,
356,phrase,subjective experience,,trải nghiệm chủ quan,,
357,n,bias,prejudice,thành kiến/thiên kiến,,
357,adj,biased,partial,có thành kiến,,
357,phrase,unconscious bias,,thành kiến vô thức,,
357,phrase,political bias,political partiality,thiên kiến chính trị,,
357,phrase,confirmation bias,,thiên kiến xác nhận,,
358,n,prejudice,bias,định kiến,,
358,adj,prejudiced,biased,có định kiến,,
358,phrase,racial prejudice,,định kiến sắc tộc,,
358,phrase,without prejudice,,không gây hại đến quyền lợi/không có định kiến,,
359,n,stereotype,cliché,khuôn mẫu định hình,,
359,adj,stereotypical,,có tính khuôn mẫu,,
359,phrase,gender stereotype,,định kiến giới tính,,
359,phrase,challenge stereotypes,,thách thức các khuôn mẫu,,
359,phrase,cultural stereotype,,khuôn mẫu văn hóa,,
360,n,context,setting,ngữ cảnh/bối cảnh,,
360,adj,contextual,,thuộc về ngữ cảnh,,
360,v,contextualize,,đưa vào ngữ cảnh,,
360,phrase,historical context,historical setting,bối cảnh lịch sử,,
360,phrase,social context,social setting,bối cảnh xã hội,,
360,phrase,out of context,,ngoài ngữ cảnh,,
361,n,background,origin,nền tảng/lai lịch,,
361,phrase,educational background,,nền tảng giáo dục,,
361,phrase,cultural background,,nền tảng văn hóa,,
361,phrase,background information,,thông tin nền/thông tin cơ bản,,
362,n,environment,surroundings,môi trường,,
362,adj,environmental,,thuộc về môi trường,,
362,phrase,working environment,work setting,môi trường làm việc,,
362,phrase,natural environment,natural surroundings,môi trường tự nhiên,,
362,phrase,environmental impact,,tác động môi trường,,
363,n,circumstance,condition,hoàn cảnh/tình huống,,
363,adj,circumstantial,,tùy thuộc hoàn cảnh/gián tiếp,,
363,phrase,exceptional circumstances,,hoàn cảnh đặc biệt/ngoại lệ,,
363,phrase,under no circumstances,,không trong bất kỳ hoàn cảnh nào,,
363,phrase,circumstantial evidence,,bằng chứng gián tiếp,,
364,n,situation,scenario,tình hình/tình huống,,
364,v,situate,locate,đặt vào vị trí/hoàn cảnh,,
364,phrase,current situation,present scenario,tình hình hiện tại,,
364,phrase,win-win situation,,tình huống đôi bên cùng có lợi,,
364,phrase,stuck in a situation,,mắc kẹt trong một tình huống,,
365,n,scenario,situation,kịch bản/tình huống giả định,,
365,phrase,worst-case scenario,,kịch bản xấu nhất,,
365,phrase,likely scenario,,kịch bản có khả năng xảy ra,,
365,phrase,future scenario,,kịch bản tương lai,,
366,n,phenomenon,occurrence,hiện tượng,,
366,phrase,natural phenomenon,natural occurrence,hiện tượng tự nhiên,,
366,phrase,social phenomenon,social occurrence,hiện tượng xã hội,,
367,n,event,incident,sự kiện,,
367,adj,eventful,,nhiều sự kiện/đáng nhớ,,
367,phrase,current events,present incidents,thời sự/sự kiện hiện tại,,
367,phrase,sporting event,,sự kiện thể thao,,
367,phrase,eventual outcome,final result,kết quả cuối cùng,,
368,n,occurrence,happening,sự xảy ra/sự việc,,
368,v,occur,happen,xảy ra,,
368,phrase,common occurrence,frequent happening,sự việc thường gặp,,
368,phrase,daily occurrence,everyday happening,sự việc hàng ngày,,
368,phrase,natural occurrence,natural event,sự việc tự nhiên,,
369,n,incident,event,sự cố/vụ việc,,
369,adj,incidental,accidental,ngẫu nhiên/phụ,,
369,adv,incidentally,by the way,nhân tiện/ngẫu nhiên,,
369,phrase,minor incident,small event,sự cố nhỏ,,
369,phrase,without incident,,không có sự cố gì,,
369,phrase,incidental costs,accidental expenses,chi phí phát sinh/ngoài dự kiến,,
370,n,episode,period,tình tiết/đợt/tập phim,,
370,adj,episodic,,theo từng đợt,,
370,phrase,depressive episode,depressive period,đợt trầm cảm,,
370,phrase,latest episode,newest installment,tập mới nhất,,
370,phrase,episodic memory,,trí nhớ tình tiết,,
371,n,trend,tendency,xu hướng,,
371,phrase,upward trend,rising tendency,xu hướng tăng,,
371,phrase,downward trend,falling tendency,xu hướng giảm,,
371,phrase,emerging trend,new tendency,xu hướng mới nổi,,
372,n,shift,change,sự chuyển dịch/ca làm việc,,
372,v,shift,move,chuyển dịch,,
372,phrase,paradigm shift,fundamental change,sự thay đổi hệ hình,,
372,phrase,night shift,,ca đêm,,
372,phrase,shift in focus,move in emphasis,sự chuyển dịch trọng tâm,,
373,n,transformation,alteration,sự biến đổi/cải biến,,
373,v,transform,convert,biến đổi,,
373,phrase,digital transformation,digital conversion,chuyển đổi số,,
373,phrase,radical transformation,complete alteration,sự biến đổi triệt để,,
373,phrase,undergo transformation,,trải qua sự biến đổi,,
374,n,evolution,development,sự tiến hóa/phát triển,,
374,v,evolve,develop,tiến hóa/phát triển dần,,
374,adj,evolutionary,,thuộc về tiến hóa,,
374,phrase,biological evolution,biological development,tiến hóa sinh học,,
374,phrase,rapid evolution,fast development,sự phát triển nhanh chóng,,
374,phrase,evolutionary process,developmental sequence,quá trình tiến hóa,,
375,n,progress,advancement,sự tiến bộ,,
375,v,progress,advance,tiến bộ/tiến triển,,
375,adj,progressive,forward-looking,tiến bộ/dần dần,,
375,phrase,make progress,achieve advancement,có tiến bộ,,
375,phrase,steady progress,consistent advancement,tiến triển đều đặn,,
375,phrase,progressive disease,,bệnh tăng nặng dần,,
376,n,advancement,progress,sự thăng tiến/tiến bộ,,
376,v,advance,progress,tiến lên/đề xuất,,
376,phrase,career advancement,career progress,sự thăng tiến nghề nghiệp,,
376,phrase,technological advancement,technical progress,sự tiến bộ công nghệ,,
376,phrase,advance notice,,thông báo trước,,
377,n,stability,steadiness,sự ổn định,,
377,v,stabilize,steady,làm cho ổn định,,
377,adj,stable,steady,ổn định,,
377,phrase,economic stability,financial steadiness,ổn định kinh tế,,
377,phrase,political stability,governmental steadiness,ổn định chính trị,,
377,phrase,stable condition,steady state,tình trạng ổn định,,
378,n,continuity,permanence,sự liên tục,,
378,adj,continuous,uninterrupted,liên tục,,
378,phrase,business continuity,business permanence,sự liên tục trong kinh doanh,,
378,phrase,sense of continuity,,cảm giác về sự liên tục,,
378,phrase,historical continuity,historical permanence,sự liên tục của lịch sử,,
379,n,equilibrium,balance,trạng thái cân bằng,,
379,phrase,market equilibrium,market balance,cân bằng thị trường,,
379,phrase,chemical equilibrium,chemical balance,cân bằng hóa học,,
379,phrase,reach equilibrium,achieve balance,đạt trạng thái cân bằng,,
380,n,dynamics,forces,động lực học/biến động,,
380,adj,dynamic,energetic,năng động/biến đổi liên tục,,
380,phrase,group dynamics,group forces,động lực nhóm,,
380,phrase,market dynamics,market forces,biến động thị trường,,
380,phrase,dynamic environment,energetic setting,môi trường năng động,,
381,n,friction,,ma sát (vật lý)/sự cọ xát bất đồng,,
381,adj,frictional,,thuộc về ma sát,,
381,phrase,internal friction,,ma sát nội bộ/sự cọ xát nội bộ,,
381,phrase,reduce friction,,giảm ma sát/giảm cọ xát,,
381,phrase,friction between groups,,sự cọ xát/xung đột nhẹ giữa các nhóm,,
382,n,resistance,defiance,sự kháng cự/điện trở,,
382,v,resist,oppose,kháng cự/chống lại,,
382,adj,resistant,,có tính kháng cự/bền,,
382,phrase,air resistance,drag,lực cản không khí,,
382,phrase,political resistance,political defiance,sự kháng cự về chính trị,,
382,phrase,antibiotic resistance,,sự kháng kháng sinh,,
383,n,pressure,,áp lực/áp suất,,
383,v,press,push,ấn/ép,,
383,adj,pressurized,,được nén áp suất,,
383,phrase,atmospheric pressure,,áp suất khí quyển,,
383,phrase,peer pressure,,áp lực đồng trang lứa,,
383,phrase,blood pressure,,huyết áp,,
384,n,tension,strain,sức căng/sự căng thẳng,,
384,adj,tense,strained,căng thẳng,,
384,phrase,social tension,social strain,căng thẳng xã hội,,
384,phrase,surface tension,,sức căng bề mặt,,
384,phrase,ease tension,reduce strain,làm dịu sự căng thẳng,,
385,n,velocity,speed,vận tốc,,
385,phrase,high velocity,high speed,vận tốc cao,,
385,phrase,escape velocity,,tốc độ vũ trụ cấp 1/tốc độ thoát ly,,
385,phrase,terminal velocity,,vận tốc cuối,,
386,n,magnitude,scale,độ lớn/tầm vóc,,
386,v,magnify,,phóng đại (hình ảnh),,
386,n,magnification,,sự phóng đại,,
386,phrase,magnitude of the earthquake,scale of the quake,độ lớn của trận động đất,,
386,phrase,order of magnitude,,quy mô (theo lũy thừa 10),,
386,phrase,absolute magnitude,,độ sáng tuyệt đối (thiên văn),,
387,n,frequency,recurrence,tần suất/tần số,,
387,phrase,high frequency,common recurrence,tần số cao/tần suất cao,,
387,phrase,relative frequency,,tần suất tương đối,,
387,phrase,frequency distribution,,phân phối tần suất,,
388,n,intensity,strength,cường độ,,
388,v,intensify,strengthen,tăng cường/gia tăng,,
388,adj,intensive,thorough,tập trung/chuyên sâu,,
388,phrase,light intensity,light strength,cường độ ánh sáng,,
388,phrase,labor intensive,,thâm dụng lao động,,
388,phrase,high intensity,high strength,cường độ cao,,
389,n,density,compactness,mật độ/tỉ trọng,,
389,adj,dense,compact,dày đặc,,
389,adv,densely,compactly,một cách dày đặc,,
389,phrase,population density,population compactness,mật độ dân số,,
389,phrase,high density,high compactness,mật độ cao,,
389,phrase,densely populated,compactly inhabited,dân cư đông đúc,,
390,n,volume,quantity,thể tích/âm lượng/khối lượng,,
390,adj,voluminous,,đồ sộ/nhiều (trang tài liệu),,
